author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VEREN GROUP;developer;https://nn.cian.ru/sale/flat/307110202/;Химки};sale;flat;2;17;1;50.67;14371953;Нижегородский;;;;Верен Плейс Одесская ЖК
DOGMA;developer;https://novorossiysk.cian.ru/sale/flat/305414337/;Химки};sale;flat;3;18;1;36.4;5583760;;;;;Порто-Ново
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/301078527/;Химки};sale;flat;4;5;1;47.0;41600000;Замоскворечье;Озерковская набережная;6;Новокузнецкая;Bogenhouse
BERI;real_estate_agent;https://www.cian.ru/sale/flat/305730509/;Химки};sale;flat;5;9;1;36.8;17810000;Хорошевский; Куусинена;6К13;Полежаевская;
СМУ-88;developer;https://kazan.cian.ru/sale/flat/308681680/;Химки};sale;flat;7;10;1;30.0;12358619;Вахитовский;;;Площадь Тукая;Яналиф ЖК
Лимон Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/308003155/;Химки};sale;flat;4;11;1;52.4;19900000;Фрунзенский;Лиговский проспект;232;Обводный канал;Ligovsky city-Второй квартал
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/286980798/;Химки};sale;flat;3;5;1;36.2;10000000;с. Эстосадок; Переселенческая;;;
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/292674481/;Химки};sale;flat;14;24;1;36.98;9096000;;;;;Гарантия на Обрывной
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/281595648/;Химки};sale;flat;2;4;1;31.0;11900000;Красная Поляна пгт; Калиновая;9/5;;
Светлана Ханина;realtor;https://krasnodar.cian.ru/sale/flat/308785014/;Химки};sale;flat;2;16;1;37.0;3950000;мкр. Восточно-Кругликовский; Генерала Трошева;39;;
AVA;developer;https://krasnodar.cian.ru/sale/flat/301514298/;Химки};sale;flat;18;23;1;35.55;6445215;мкр. КСК;Уральская ;87/7;;URAL
Эльдар Кудинов;realtor;https://www.cian.ru/sale/flat/308944363/;Химки};sale;flat;2;12;1;28.2;12800000;Раменки;Мичуринский проспект;38;Раменки;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308852454/;Химки};sale;flat;9;12;1;39.0;13500000;Теплый Стан; Академика Бакулева;6;Тропарёво;
Edelweiss;developer;https://vladivostok.cian.ru/sale/flat/301634046/;Химки};sale;flat;9;22;1;37.8;9939000;Первомайский;Кизлярская ;;;Edelweiss Золотой Рог
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307295985/;Химки};sale;flat;3;24;1;42.6;21500000;Даниловский;Автозаводская ;23Бк2;ЗИЛ;Парк Легенд
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307257825/;Химки};sale;flat;11;12;1;61.3;38000000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
BrokerStreet;representative_developer;https://kaliningrad.cian.ru/sale/flat/308136561/;Химки};sale;flat;2;4;1;29.45;10560000;Светлогорск; Нахимова;;;Палатиум
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/300370467/;Химки};sale;flat;3;6;1;35.2;16800000;Лазаревский;Лучезарная ;18/8;;
ФСК Агент;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306552701/;Химки};sale;flat;8;17;1;28.0;8950000;Датский квартал ЖК; Полковника Романова;13;;Датский квартал
Садовое кольцо;developer;https://ufa.cian.ru/sale/flat/308938953/;Химки};sale;flat;2;16;1;43.03;6256734;Кировский;Зеленая Роща жилрайон;;;Терле Парк ЖК
